구분,,,01월 02일,01월 03일,01월 04일,01월 05일,01월 08일,01월 09일,01월 10일,01월 11일,01월 12일,01월 15일,01월 16일,01월 17일,01월 18일,01월 19일,01월 22일,01월 23일,01월 24일,01월 25일,01월 26일,01월 29일,01월 30일,01월 31일,02월 01일,02월 02일,02월 05일,02월 06일,02월 07일,02월 08일,02월 09일,02월 12일,02월 13일,02월 14일,02월 19일,02월 20일,02월 21일,02월 22일,02월 23일,02월 26일,02월 27일,02월 28일,03월 02일,03월 05일,03월 06일,03월 07일,03월 08일,03월 09일,03월 12일,03월 13일,03월 14일,03월 15일,03월 16일,03월 19일,03월 20일,03월 21일,03월 22일,03월 23일,03월 26일,03월 27일,03월 28일,03월 29일,03월 30일,04월 02일,04월 03일,04월 04일,04월 05일,04월 06일,04월 09일,04월 10일,04월 11일,04월 12일,04월 13일,04월 16일,04월 17일,04월 18일,04월 19일,04월 20일,04월 23일,04월 24일,04월 25일,04월 26일,04월 27일,04월 30일,05월 02일,05월 03일,05월 04일,05월 08일,05월 09일,05월 10일,05월 11일,05월 14일,05월 15일,05월 16일,05월 17일,05월 18일,05월 21일,05월 23일,05월 24일,05월 25일,05월 28일,05월 29일,05월 30일,05월 31일,06월 01일,06월 04일,06월 05일,06월 07일,06월 08일,06월 11일,06월 12일,06월 14일,06월 15일,06월 18일,06월 19일,06월 20일,06월 21일,06월 22일,06월 25일,06월 26일,06월 27일,06월 28일,06월 29일,07월 02일,07월 03일,07월 04일,07월 05일,07월 06일,07월 09일,07월 10일,07월 11일,07월 12일,07월 13일,07월 16일,07월 17일,07월 18일,07월 19일,07월 20일,07월 23일,07월 24일,07월 25일,07월 26일,07월 27일,07월 30일,07월 31일,08월 01일,08월 02일,08월 03일,08월 06일,08월 07일,08월 08일,08월 09일,08월 10일,08월 13일,08월 14일,08월 16일,08월 17일,08월 20일,08월 21일,08월 22일,08월 23일,08월 24일,08월 27일,08월 28일,08월 29일,08월 30일,08월 31일,09월 03일,09월 04일,09월 05일,09월 06일,09월 07일,09월 10일,09월 11일,09월 12일,09월 13일,09월 14일,09월 17일,09월 18일,09월 19일,09월 20일,09월 21일,09월 27일,09월 28일,10월 01일,10월 02일,10월 04일,10월 05일,10월 08일,10월 10일,10월 11일,10월 12일,10월 15일,10월 16일,10월 17일,10월 18일,10월 19일,10월 22일,10월 23일,10월 24일,10월 25일,10월 26일,10월 29일,10월 30일,10월 31일,11월 01일,11월 02일,11월 05일,11월 06일,11월 07일,11월 08일,11월 09일,11월 12일,11월 13일,11월 14일,11월 15일,11월 16일,11월 19일,11월 20일,11월 21일,11월 22일,11월 23일,11월 26일,11월 27일,11월 28일,11월 29일,11월 30일,12월 03일,12월 04일,12월 05일,12월 06일,12월 10일,12월 11일,12월 12일,12월 13일,12월 14일,12월 17일,12월 18일,12월 19일,12월 20일,12월 21일,12월 24일,12월 26일,12월 27일,12월 28일,12월 31일
평균,,,"2,905","2,927","2,940","2,960","3,024","2,967","2,952","2,961","2,981","3,053","3,071","3,076","3,055","3,069","3,083","3,179","3,155","3,115","3,115","3,176","3,363","3,471","3,749","3,837","4,052","4,261","4,181","4,307","4,307","4,576","4,512","4,479","4,527","4,359","4,301","4,302","4,306","4,241","4,277","4,280","4,283","4,303","4,311","4,295","4,269","4,322","4,347","4,314","4,281","4,297","4,289","4,260","4,254","4,273","4,273","4,241","4,251","4,290","4,307","4,291","4,299","4,321","4,306","4,306","4,333","4,333","4,321","4,317","4,317","4,334","4,309","4,270","4,270","4,284","4,259","4,292","4,282","4,360","4,379","4,299","4,299","4,309","4,240","4,240","4,240","3,457","3,417","3,399","3,345","3,312","3,252","3,215","3,018","3,024","2,807","2,789","2,866","2,851","2,797","2,797","2,797","2,685","2,688","2,653","2,611","2,691","2,691","2,676","2,679","2,707","2,708","2,747","2,745","2,757","2,718","2,686","2,714","2,773","2,896","2,919","2,934","2,986","2,990","3,004","3,060","3,015","3,122","3,235","3,355","3,498","3,499","3,605","3,706","3,771","3,930","3,960","4,448","4,524","4,680","4,788","4,909","5,030","5,257","5,404","5,605","5,719","5,770","5,770","5,864","6,010","6,051","6,066","6,217","6,310","6,522","6,986","7,164","7,320","7,522","7,661","8,245","8,311","8,248","8,299","8,201","8,079","7,121","6,926","6,917","6,807","6,579","6,544","6,334","6,217","6,209","6,149","6,027","6,012","5,920","5,935","5,875","5,617","5,321","4,897","4,559","4,400","4,464","4,387","4,194","4,151","4,001","3,864","3,779","3,736","3,663","3,618","3,587","3,570","3,501","3,451","3,382","3,360","3,399","3,368","3,290","3,153","3,171","3,149","3,112","3,107","3,092","3,127","3,045","3,003","3,000","3,008","3,003","2,995","2,981","2,966","2,966","2,956","3,004","2,933","2,916","2,873","2,826","2,796","2,773","2,805","2,805","2,805","2,799","2,816","2,816","2,850","2,865","2,838","2,798","2,789","2,796","2,796","2,796","2,796"
평년,,,"3,164","3,056","3,165","3,494","3,138","2,882","2,735","2,730","2,675","2,634","2,626","2,609","2,588","2,591","2,610","2,609","2,601","2,630","2,645","2,706","2,705","2,708","2,713","2,749","2,783","2,805","2,818","2,822","2,828","2,934","2,956","2,898","2,990","2,982","2,972","2,963","2,952","2,978","3,025","3,031","3,109","3,254","3,256","3,262","3,241","3,259","3,246","3,303","3,212","3,207","3,215","3,308","3,309","3,229","3,244","3,252","3,242","3,202","3,185","3,175","3,182","3,322","3,347","3,336","3,262","3,280","3,364","3,366","3,374","3,369","3,373","3,289","3,332","3,320","3,291","3,263","3,363","3,344","3,312","3,316","3,347","3,225","3,234","3,286","3,250","2,914","2,844","2,829","2,826","2,754","2,783","2,787","2,713","2,697","2,725","2,776","2,742","2,744","2,581","2,683","2,643","2,596","2,562","2,519","2,529","2,531","2,530","2,525","2,528","2,487","2,473","2,457","2,468","2,472","2,472","2,469","2,472","2,480","2,489","2,495","2,490","2,518","2,515","2,552","2,570","2,583","2,616","2,635","2,680","2,714","2,751","2,812","2,845","2,904","2,998","3,024","3,248","3,288","3,356","3,552","3,601","3,552","3,474","3,410","3,348","3,437","3,756","3,697","3,741","3,779","3,866","3,796","3,796","3,843","3,878","3,987","4,035","4,123","4,191","4,219","4,494","4,665","4,767","4,730","4,778","4,782","4,719","4,718","4,696","4,681","4,656","4,618","4,622","4,697","4,695","4,633","4,574","4,547","4,523","4,510","4,405","4,350","4,302","4,260","4,181","4,144","3,992","3,830","3,603","3,451","3,215","3,101","2,945","2,820","2,627","2,547","2,537","2,703","2,774","2,721","2,671","2,700","2,492","2,412","2,366","2,393","2,375","2,313","2,162","2,060","2,132","2,116","2,030","1,952","1,933","1,959","1,976","1,978","1,993","2,016","2,166","2,179","2,171","2,172","2,184","2,243","2,284","2,310","2,266","2,366","2,366","2,395","2,332","2,334","2,385","2,387","2,374","2,366","2,341","2,917","2,913","2,929","2,995","3,118"
서울,경동,봄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,330","3,330","3,330","3,330","3,330","3,330","3,330","3,330","3,330","3,830","4,000","4,000","4,160","4,500","4,160","4,160","4,330",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,고랭지,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,330","5,330","5,560","5,560","5,560","6,000","6,660","6,660","7,660","7,660","7,660","7,660","7,660","7,660","7,660","7,660","7,660","7,660","7,660","7,660","8,660","9,660","9,660","9,660","9,660","10,600","10,600","10,600","11,300","11,300","11,300","11,300","8,000","8,000","8,000","8,000","8,000","8,000","7,330","7,330","7,330","7,330","7,330","7,330","7,330","7,330","7,330","7,000","6,830","5,830","5,330","5,000","5,000","5,660","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,000","4,000","4,000","4,000","4,000","4,000","4,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,가을,"3,330","3,330","3,330","3,330",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,830","3,830","3,830","3,830","3,830","3,830","3,830","3,830","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","3,500","3,000","3,000","3,000","3,000","3,000","3,000"
,,월동,-,-,-,-,"3,330","3,000","3,000","3,000","3,000","3,000","3,330","3,330","3,330","3,330","3,330","3,330","3,330","3,330","3,330","3,330","3,830","3,830","3,830","3,830","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,160","4,160","4,500","4,500","4,660","4,660","4,660","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,500","4,500","4,500","4,500","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,복조리,봄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,300","3,300","3,300","3,200","3,200","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","2,880","2,880","2,880","2,880","2,880","2,880","2,880","2,880","3,100","3,100","3,220","3,220","3,220","3,220","3,330","3,330","3,330","3,330","3,880","3,880","3,880","3,880","4,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,고랭지,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,330","4,660","4,660","4,660","5,000","5,220","5,220","5,440","5,770","6,000","6,000","6,660","6,660","6,660","6,660","6,660","6,660","6,660","6,770","6,770","6,770","6,770","7,000","7,550","8,000","8,110","8,110","8,330","9,000","9,000","9,000","9,000","9,000","9,000","8,330","8,000","8,000","7,500","7,500","7,500","7,000","7,000","7,000","6,660","6,660","6,660","6,660","6,660","6,660","6,000","6,000","5,160","5,000","4,660","4,500","4,500","4,000","4,000","4,000","4,000","4,000","4,000","3,830","3,720","3,720","3,720","3,720","3,720","3,720","3,720","3,720","3,720","3,720",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,가을,"3,000","3,000","3,000","3,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,600","3,600","3,600","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,330","3,330","3,330","3,330","3,330","3,330","3,330","3,330","3,330","3,330","3,330","3,110","3,110","3,000","3,000","3,000","3,000","3,000","3,000"
,,월동,-,-,-,-,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,110","3,110","3,110","3,110","3,110","3,110","3,110","3,110","3,220","3,330","3,330","3,550","3,660","4,000","4,330","4,330","4,330","4,330","4,330","4,770","4,770","4,770","4,330","4,330","4,330","4,110","4,110","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
