구분,,,01월 02일,01월 03일,01월 04일,01월 07일,01월 08일,01월 09일,01월 10일,01월 11일,01월 14일,01월 15일,01월 16일,01월 17일,01월 18일,01월 21일,01월 22일,01월 23일,01월 24일,01월 25일,01월 28일,01월 29일,01월 30일,01월 31일,02월 01일,02월 07일,02월 08일,02월 11일,02월 12일,02월 13일,02월 14일,02월 15일,02월 18일,02월 19일,02월 20일,02월 21일,02월 22일,02월 25일,02월 26일,02월 27일,02월 28일,03월 04일,03월 05일,03월 06일,03월 07일,03월 08일,03월 11일,03월 12일,03월 13일,03월 14일,03월 15일,03월 18일,03월 19일,03월 20일,03월 21일,03월 22일,03월 25일,03월 26일,03월 27일,03월 28일,03월 29일,04월 01일,04월 02일,04월 03일,04월 04일,04월 05일,04월 08일,04월 09일,04월 10일,04월 11일,04월 12일,04월 15일,04월 16일,04월 17일,04월 18일,04월 19일,04월 22일,04월 23일,04월 24일,04월 25일,04월 26일,04월 29일,04월 30일,05월 02일,05월 03일,05월 07일,05월 08일,05월 09일,05월 10일,05월 13일,05월 14일,05월 15일,05월 16일,05월 17일,05월 20일,05월 21일,05월 22일,05월 23일,05월 24일,05월 27일,05월 28일,05월 29일,05월 30일,05월 31일,06월 03일,06월 04일,06월 05일,06월 07일,06월 10일,06월 11일,06월 12일,06월 13일,06월 14일,06월 17일,06월 18일,06월 19일,06월 20일,06월 21일,06월 24일,06월 25일,06월 26일,06월 27일,06월 28일,07월 01일,07월 02일,07월 03일,07월 04일,07월 05일,07월 08일,07월 09일,07월 10일,07월 11일,07월 12일,07월 15일,07월 16일,07월 17일,07월 18일,07월 19일,07월 22일,07월 23일,07월 24일,07월 25일,07월 26일,07월 29일,07월 30일,07월 31일,08월 01일,08월 02일,08월 05일,08월 06일,08월 07일,08월 08일,08월 09일,08월 12일,08월 13일,08월 14일,08월 16일,08월 19일,08월 20일,08월 21일,08월 22일,08월 23일,08월 26일,08월 27일,08월 28일,08월 29일,08월 30일,09월 02일,09월 03일,09월 04일,09월 05일,09월 06일,09월 09일,09월 10일,09월 11일,09월 16일,09월 17일,09월 18일,09월 19일,09월 20일,09월 23일,09월 24일,09월 25일,09월 26일,09월 27일,09월 30일,10월 01일,10월 02일,10월 04일,10월 07일,10월 08일,10월 10일,10월 11일,10월 14일,10월 15일,10월 16일,10월 17일,10월 18일,10월 21일,10월 22일,10월 23일,10월 24일,10월 25일,10월 28일,10월 29일,10월 30일,10월 31일,11월 01일,11월 04일,11월 05일,11월 06일,11월 07일,11월 08일,11월 11일,11월 12일,11월 13일,11월 14일,11월 15일,11월 18일,11월 19일,11월 20일,11월 21일,11월 22일,11월 25일,11월 26일,11월 27일,11월 28일,11월 29일,12월 02일,12월 03일,12월 04일,12월 05일,12월 09일,12월 10일,12월 11일,12월 12일,12월 13일,12월 16일,12월 17일,12월 18일,12월 19일,12월 20일,12월 23일,12월 24일,12월 26일,12월 27일,12월 30일,12월 31일
평균,,,"2,722","2,709","2,709","2,748","2,772","2,748","2,756","2,756","2,693","2,692","2,631","2,598","2,578","2,554","2,550","2,550","2,517","2,503","2,413","2,498","2,498","2,577","2,572","2,665","2,640","2,584","2,584","2,589","2,508","2,508","2,444","2,429","2,386","2,367","2,343","2,322","2,322","2,327","2,304","2,347","2,313","2,313","2,308","2,300","2,276","2,263","2,263","2,245","2,230","2,233","2,245","2,245","2,245","2,228","2,228","2,205","2,170","2,180","2,198","2,201","2,201","2,201","2,231","2,246","2,269","2,282","2,312","2,299","2,274","2,284","2,276","2,276","2,276","2,276","2,280","2,280","2,296","2,288","2,288","2,311","2,311","2,324","2,316","2,357","2,425","2,425","2,425","2,428","2,448","2,448","2,458","2,531","2,620","2,265","2,272","2,249","2,282","2,209","2,219","2,219","2,366","2,361","2,375","2,385","2,413","2,477","2,477","2,477","2,562","2,651","2,692","2,722","2,774","2,824","2,891","2,887","2,913","2,901","2,906","2,924","2,999","3,031","3,038","3,027","3,077","3,062","3,060","3,056","3,075","3,090","3,176","3,181","3,209","3,146","3,205","3,214","3,209","3,238","3,216","3,275","3,261","3,313","3,334","3,338","3,312","3,293","3,296","3,301","3,287","3,391","3,415","3,417","3,444","3,440","3,396","3,432","3,486","3,429","3,583","3,602","3,602","3,618","3,636","3,730","3,758","3,883","3,919","4,045","4,570","4,784","5,015","5,125","5,193","5,260","5,208","5,221","5,496","5,622","5,663","6,162","6,492","6,641","6,674","6,903","7,177","7,328","7,876","8,004","7,437","7,122","6,968","6,826","6,786","6,626","6,578","6,531","6,417","6,291","6,149","6,014","5,680","5,710","5,390","5,327","5,141","5,027","5,037","4,841","4,746","4,739","4,399","4,299","4,200","4,275","4,262","4,345","4,450","4,519","4,645","4,605","4,600","4,655","4,691","4,756","4,680","4,594","4,625","4,553","4,569","4,552","4,651","4,617","4,650","4,693","4,680","4,656","4,632","4,616","4,592","4,616","4,589","4,575","4,495","4,474","4,502","4,547"
평년,,,"3,122","3,123","3,004","3,180","2,978","2,622","2,499","2,498","2,427","2,405","2,399","2,400","2,397","2,420","2,431","2,439","2,438","2,473","2,534","2,559","2,567","2,589","2,626","2,800","2,809","2,898","2,903","2,935","2,864","2,863","2,954","2,971","2,968","2,962","2,955","2,927","2,989","3,035","3,041","3,235","3,249","3,249","3,255","3,220","3,211","3,219","3,273","3,194","3,183","3,283","3,290","3,295","3,221","3,224","3,232","3,238","3,196","3,179","3,186","3,249","3,315","3,331","3,317","3,239","3,329","3,327","3,341","3,369","3,361","3,275","3,274","3,331","3,319","3,273","3,428","3,517","3,513","3,491","3,454","3,475","3,545","3,548","3,568","3,133","3,070","2,932","2,942","2,875","2,832","2,854","2,836","2,721","2,710","2,704","2,726","2,770","2,743","2,753","2,591","2,685","2,643","2,597","2,534","2,515","2,526","2,533","2,522","2,522","2,525","2,532","2,492","2,460","2,459","2,465","2,466","2,464","2,464","2,476","2,500","2,524","2,545","2,567","2,579","2,581","2,613","2,641","2,706","2,725","2,753","2,803","2,829","2,970","2,953","2,986","3,249","3,373","3,648","3,594","3,678","3,873","3,914","3,941","3,977","3,842","3,843","3,814","4,064","4,219","4,157","4,151","4,198","4,305","4,200","4,177","4,276","4,262","4,351","4,373","4,462","4,504","4,953","5,003","5,198","5,235","5,262","5,368","5,380","5,300","5,292","5,289","5,344","5,310","5,191","5,016","4,988","4,941","4,889","4,835","4,726","4,843","4,830","4,804","4,791","4,527","4,642","4,560","4,448","4,319","4,288","4,194","3,983","3,702","3,659","3,586","3,456","3,343","3,139","3,097","3,060","3,002","2,947","2,865","2,920","2,930","2,784","2,524","2,496","2,505","2,484","2,454","2,460","2,604","2,605","2,533","2,397","2,334","2,261","2,262","2,270","2,291","2,340","2,456","2,454","2,432","2,376","2,350","2,395","2,431","2,421","2,433","2,341","2,388","2,394","2,406","2,352","2,404","2,437","2,438","2,418","2,401","2,829","2,924","2,924","2,947","3,076","3,105"
서울,경동,봄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,660","3,660","3,660","3,660","3,660","3,660","3,660","3,660","3,660","3,830","3,830","3,830","3,830","3,830","3,830",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,고랭지,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,000","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,660","4,660","4,660","4,660","4,660","4,660","4,830","4,830","5,660","5,660","5,660","5,660","6,000","9,330","8,160","7,660","7,660","7,660","7,660","7,660","7,660","7,660","7,660","7,660","10,500","9,330","8,660","8,660","9,000","9,330","9,330","10,600","11,300","9,330","8,330","8,000","8,000","8,000","8,000","8,000","8,000","8,000","7,160","6,660","6,660","6,660","6,660","6,330","6,000","6,000","6,000","6,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,가을,"3,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,330","5,330","5,330","5,660","5,660","5,660","5,660","5,660","5,000","4,660","4,830","4,830","5,000","4,830","4,830","5,160","5,160","5,160","5,160","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830"
,,월동,-,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","2,830","2,830","2,830","2,830","2,830","2,830","2,830","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,830","2,830","2,830","2,830","2,830","2,830","2,830","3,000","3,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,복조리,봄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,560","2,720","2,720","2,720","2,720","2,880","3,000","3,000","3,000","3,100","3,100","3,100","3,100","3,100","3,100","3,100","3,100","3,540","3,540","3,540","3,540","3,540","3,440","3,440","3,440","3,440","3,830","3,830","3,830","3,830","3,830","3,830",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,고랭지,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,670","3,670","3,670","3,670","3,670","3,780","3,890","3,890","3,890","3,890","3,890","3,890","3,890","4,110","4,110","4,110","4,110","4,110","4,110","4,440","4,440","4,440","4,440","4,440","4,440","4,550","4,550","4,550","4,550","4,550","4,550","4,770","6,100","6,330","6,330","6,330","6,770","6,770","6,550","6,550","6,770","6,770","7,000","9,000","8,330","8,000","8,000","8,000","8,000","8,440","8,660","8,660","8,660","8,000","7,330","7,330","7,330","7,000","7,000","7,000","7,000","6,660","6,330","6,000","6,000","6,000","6,000","6,000","5,440","5,440","5,440",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,가을,"3,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,770","4,770","4,770","4,770","4,770","4,770","4,660","4,660","4,660","4,660","4,880","4,880","4,880","4,880","5,000","5,000","5,000","5,000","5,000","5,000","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770"
,,월동,-,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","2,880","2,880","2,880","2,880","2,880","2,880","2,880","2,880","2,880","2,880","2,880","2,880","2,880","2,880","2,880","2,880","2,880","2,880","2,880","2,880","2,880","2,880","2,660","2,660","2,660","2,660","2,660","2,660","2,440","2,440","2,440","2,440","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,660","2,660","2,660","2,660",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
