구분,,,01월 02일,01월 03일,01월 06일,01월 07일,01월 08일,01월 09일,01월 10일,01월 13일,01월 14일,01월 15일,01월 16일,01월 17일,01월 20일,01월 21일,01월 22일,01월 23일,01월 28일,01월 29일,01월 30일,01월 31일,02월 03일,02월 04일,02월 05일,02월 06일,02월 07일,02월 10일,02월 11일,02월 12일,02월 13일,02월 14일,02월 17일,02월 18일,02월 19일,02월 20일,02월 21일,02월 24일,02월 25일,02월 26일,02월 27일,02월 28일,03월 02일,03월 03일,03월 04일,03월 05일,03월 06일,03월 09일,03월 10일,03월 11일,03월 12일,03월 13일,03월 16일,03월 17일,03월 18일,03월 19일,03월 20일,03월 23일,03월 24일,03월 25일,03월 26일,03월 27일,03월 30일,03월 31일,04월 01일,04월 02일,04월 03일,04월 06일,04월 07일,04월 08일,04월 09일,04월 10일,04월 13일,04월 14일,04월 16일,04월 17일,04월 20일,04월 21일,04월 22일,04월 23일,04월 24일,04월 27일,04월 28일,04월 29일,05월 04일,05월 06일,05월 07일,05월 08일,05월 11일,05월 12일,05월 13일,05월 14일,05월 15일,05월 18일,05월 19일,05월 20일,05월 21일,05월 22일,05월 25일,05월 26일,05월 27일,05월 28일,05월 29일,06월 01일,06월 02일,06월 03일,06월 04일,06월 05일,06월 08일,06월 09일,06월 10일,06월 11일,06월 12일,06월 15일,06월 16일,06월 17일,06월 18일,06월 19일,06월 22일,06월 23일,06월 24일,06월 25일,06월 26일,06월 29일,06월 30일,07월 01일,07월 02일,07월 03일,07월 06일,07월 07일,07월 08일,07월 09일,07월 10일,07월 13일,07월 14일,07월 15일,07월 16일,07월 17일,07월 20일,07월 21일,07월 22일,07월 23일,07월 24일,07월 27일,07월 28일,07월 29일,07월 30일,07월 31일,08월 03일,08월 04일,08월 05일,08월 06일,08월 07일,08월 10일,08월 11일,08월 12일,08월 13일,08월 14일,08월 18일,08월 19일,08월 20일,08월 21일,08월 24일,08월 25일,08월 26일,08월 27일,08월 28일,08월 31일,09월 01일,09월 02일,09월 03일,09월 04일,09월 07일,09월 08일,09월 09일,09월 10일,09월 11일,09월 14일,09월 15일,09월 16일,09월 17일,09월 18일,09월 21일,09월 22일,09월 23일,09월 24일,09월 25일,09월 28일,09월 29일,10월 05일,10월 06일,10월 07일,10월 08일,10월 12일,10월 13일,10월 14일,10월 15일,10월 16일,10월 19일,10월 20일,10월 21일,10월 22일,10월 23일,10월 26일,10월 27일,10월 28일,10월 29일,10월 30일,11월 02일,11월 03일,11월 04일,11월 05일,11월 06일,11월 09일,11월 10일,11월 11일,11월 12일,11월 13일,11월 16일,11월 17일,11월 18일,11월 19일,11월 20일,11월 23일,11월 24일,11월 25일,11월 26일,11월 27일,11월 30일,12월 01일,12월 02일,12월 03일,12월 07일,12월 08일,12월 09일,12월 10일,12월 11일,12월 14일,12월 15일,12월 16일,12월 17일,12월 18일,12월 21일,12월 22일,12월 23일,12월 24일,12월 28일,12월 29일,12월 30일,12월 31일
평균,,,"4,584","4,591","4,613","4,627","4,627","4,629","4,690","4,597","4,592","4,606","4,584","4,584","4,605","4,629","4,597","4,597","4,708","4,580","4,574","4,550","4,468","4,437","4,435","4,418","4,418","4,379","4,360","4,360","4,360","4,336","4,336","4,315","4,339","4,339","4,356","4,381","4,396","4,296","4,296","4,296","4,376","4,328","4,311","4,311","4,326","4,340","4,331","4,331","4,308","4,308","4,325","4,325","4,325","4,297","4,292","4,292","4,292","4,292","4,476","4,476","4,459","4,430","4,458","4,458","4,430","4,439","4,449","4,449","4,449","4,449","4,421","4,421","4,421","4,403","4,403","4,403","4,419","4,441","4,552","4,678","4,909","5,109","5,312","5,605","6,173","6,411","4,952","4,926","4,729","4,614","4,198","4,324","4,306","4,349","4,339","4,415","4,346","4,449","4,497","4,450","4,667","4,770","4,679","4,565","4,616","4,438","4,268","4,212","4,134","4,103","4,144","4,281","4,387","4,325","4,294","4,339","4,240","4,336","4,362","4,411","4,460","4,442","4,372","4,329","4,124","4,083","4,104","4,125","4,159","4,086","4,086","4,238","4,705","4,714","4,926","4,988","5,093","5,212","5,354","5,613","5,901","5,774","5,768","5,626","5,643","5,708","5,771","5,681","5,753","5,775","5,831","6,216","6,286","6,534","7,044","7,032","7,051","7,322","7,928","8,150","8,416","9,317","9,398","9,494","9,699","9,748","9,594","9,428","9,067","9,348","9,657","9,738","9,980","10,160","10,356","10,480","10,839","11,241","11,476","11,600","11,682","11,876","11,633","11,954","11,728","11,828","11,883","11,657","10,911","10,689","10,418","9,761","8,658","8,341","7,568","7,211","6,521","5,870","5,555","5,250","5,243","5,209","4,956","4,755","4,635","4,387","4,283","4,149","3,994","3,684","3,534","3,482","3,224","3,371","3,328","3,269","3,016","3,086","3,037","2,966","2,991","3,097","3,080","3,080","3,166","3,050","3,039","2,988","2,957","3,024","3,004","2,908","2,877","2,958","2,948","2,970","2,928","2,859","2,807","2,855","2,791","2,778","2,722","2,740","2,755","2,870","2,790","2,921"
평년,,,"3,131","3,116","2,839","3,207","3,099","2,623","2,580","2,467","2,464","2,458","2,451","2,455","2,477","2,486","2,502","2,508","2,618","2,647","2,654","2,680","2,868","2,885","2,910","2,959","2,974","2,982","3,007","3,011","2,985","2,909","2,975","3,005","3,017","2,989","2,981","2,964","2,975","3,019","3,029","3,030","3,099","3,185","3,225","3,236","3,231","3,252","3,266","3,273","3,278","3,283","3,273","3,249","3,250","3,259","3,265","3,254","3,255","3,308","3,313","3,319","3,317","3,312","3,322","3,342","3,345","3,328","3,331","3,335","3,334","3,351","3,362","3,282","3,272","3,332","3,227","3,230","3,450","3,542","3,539","3,523","3,478","3,495","3,555","3,184","3,185","3,134","3,027","2,979","2,927","2,881","2,866","2,787","2,829","2,849","2,883","2,908","3,012","3,021","3,019","2,748","2,734","2,695","2,678","2,683","2,677","2,694","2,675","2,660","2,652","2,660","2,671","2,686","2,672","2,669","2,681","2,690","2,712","2,710","2,704","2,711","2,719","2,777","2,781","2,778","2,778","2,790","2,864","2,879","2,887","2,894","2,919","3,021","3,088","3,117","3,128","3,152","3,710","3,896","3,924","3,777","3,592","3,759","3,717","3,717","3,726","3,672","3,670","3,660","3,830","3,958","3,890","4,008","3,948","4,006","3,950","3,920","4,061","4,102","4,220","4,257","4,516","4,693","4,742","4,759","4,788","4,965","5,006","5,043","5,090","5,176","5,301","5,306","5,305","5,320","5,246","5,121","5,105","5,103","5,092","5,183","5,226","5,207","5,244","5,516","5,550","5,643","5,509","5,494","5,558","5,398","5,401","4,841","4,625","4,614","4,426","4,374","4,011","3,959","3,890","3,810","3,788","3,567","3,529","3,419","3,469","3,357","3,096","3,101","2,952","2,911","2,651","2,882","2,928","2,943","2,989","2,902","2,774","2,849","2,674","2,675","2,675","2,888","2,839","2,875","2,937","2,895","2,863","2,876","2,891","2,892","2,922","2,980","2,943","2,952","2,958","2,972","2,977","3,010","3,008","3,010","2,990","3,000","3,335","3,444","3,488","3,492","3,506","3,414"
서울,경동,봄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,160","5,660","5,830","5,830","5,830","5,830","4,660","4,660","4,500","4,330","4,660","4,500","4,330","4,660","4,830","4,830","5,330","5,000","5,000","5,000","5,000","5,330","5,330","5,000","5,000","5,000","4,830","4,830","4,830","4,660","4,660","4,660","4,660","4,660","4,660","4,660","5,830","6,160",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,고랭지,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,330","7,330","7,330","7,330","6,660","6,330","6,660","7,330","7,330","7,330","7,660","7,660","7,660","8,330","8,000","8,330","8,660","8,660","9,660","9,660","10,300","11,000","12,000","12,000","12,000","12,000","12,000","11,000","11,000","10,000","11,300","11,300","12,000","12,000","12,000","12,300","12,300","12,600","12,600","14,300","14,300","14,300","14,300","14,300","14,300","14,300","14,300","14,300","14,300","13,300","13,300","12,300","11,300","8,000","8,000","7,000","7,000","6,330","6,330","5,330","5,330","5,330","5,330","4,660","4,830","4,330","4,000","4,000","3,830","3,830",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,가을,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,830","3,660","3,660","3,660","3,660","3,660","3,660","3,900","4,000","3,830","3,830","3,500","3,500","3,830","3,830","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500",-,-,-,-
,,월동,"4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,660","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","4,830","5,660","6,160","6,160","6,660","7,500","7,500","7,500","7,500","7,500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,500","3,500","3,500"
,복조리,봄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,000","5,000","5,000","5,000","5,000","4,660","4,660","4,660","5,000","5,000","5,110","5,110","5,110","4,880","4,880","4,660","4,440","4,440","4,440","4,330","4,330","4,330","4,330","4,780","4,780","4,550","4,550","4,550","4,550","4,670","4,670","4,670","4,670","4,670","4,670","4,670","4,550","4,550","4,550","4,550","4,550","4,550","4,550","5,000","5,330","5,330","5,330","5,330","5,330",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,고랭지,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,670","6,670","6,670","6,220","6,220","6,220","6,440","6,440","6,550","7,000","7,330","7,330","7,330","7,330","7,330","8,000","8,000","8,330","8,330","8,330","8,330","10,000","10,000","10,000","10,000","10,000","10,000","10,000","9,330","10,000","10,000","10,000","10,300","10,300","11,000","11,000","11,000","11,600","11,600","11,600","11,600","11,600","11,600","11,600","11,600","11,600","11,600","11,600","11,600","11,600","11,600","10,000","8,660","8,330","8,000","7,330","6,660","5,660","5,660","5,220","5,220","5,220","5,220","5,000","4,440","4,330","4,330","4,000","4,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,가을,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,000","3,660","3,660","3,660","3,660","3,660","3,500","3,660","3,830","3,660","3,660","3,660","3,500","3,500","3,500","3,330","3,330","3,330","3,330","3,330","3,330","3,330","3,330","3,330","3,330","3,330","3,000","3,000","3,000","3,000","3,000","3,000",-,-,-
,,월동,"4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,770","4,660","4,660","4,660","4,660","4,660","4,660","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,550","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,440","4,660","4,660","4,770","5,330","5,330","5,880","6,330","7,000","7,000","7,000","7,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,000","3,000","3,000"
