구분,,,01월 04일,01월 05일,01월 06일,01월 07일,01월 08일,01월 11일,01월 12일,01월 13일,01월 14일
평균,,,"2,936","2,953","2,968","2,976","2,982","3,019","3,019","3,000","2,999"
평년,,,"3,254","3,139","2,948","3,429","3,326","3,147","2,988","2,960","2,999"
서울,경동,월동,"3,500","3,500","3,500","3,660","3,660","3,660","3,660","3,660","3,660"
,복조리,월동,"3,000","3,000","3,000","3,000","3,160","3,160","3,160","3,160","3,160"
,B-유통,월동,"1,790","1,790","1,790","1,790","1,590","1,960","1,960","2,060","2,060"
부산,부전,월동,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000"
,D-유통,월동,-,-,"2,490","2,490","2,490","2,990","2,990","2,990","2,990"
대구,동구,월동,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000"
인천,현대,월동,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000"
광주,양동,월동,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000"
대전,역전,월동,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000"
울산,신정,월동,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000"
수원,지동,월동,"3,000","3,000","3,000","3,000","3,160","3,160","3,160","3,160","3,160"
,B-유통,월동,"1,860","1,860","1,660","1,660","1,660","1,530","1,530","1,530","1,830"
춘천,중앙,월동,"3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500"
강릉,중앙,월동,"3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500"
청주,육거리,월동,"3,160","3,160","3,160","3,160","3,160","3,160","3,160","3,160","3,160"
,B-유통,월동,-,-,-,-,-,-,-,"2,180","1,980"
전주,남부,월동,"2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660"
순천,역전,월동,"2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660"
포항,죽도,월동,"3,000","3,330","3,330","3,330","3,330","3,330","3,330","3,660","3,660"
창원,상남,월동,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000"
,C-유통,월동,"1,980","1,980",-,-,-,-,-,-,-
제주,동문,월동,"4,110","4,110","4,110","4,110","4,110","4,110","4,110","4,110","4,000"
