,short,long,val
0,2,3,1006700.0
1,2,4,918100.0
2,2,5,1058800.0
3,2,6,1188400.0
4,2,7,1190800.0
5,2,8,1076300.0
6,2,9,1031000.0
7,2,10,1040100.0
8,2,11,931600.0
9,2,12,866400.0
10,2,13,803800.0
11,2,14,768300.0
12,2,15,697400.0
13,2,16,718600.0
14,2,17,715600.0
15,2,18,717900.0
16,2,19,693300.0
17,2,20,711100.0
18,2,21,817600.0
19,2,22,803700.0
20,2,23,908200.0
21,2,24,918400.0
22,2,25,914900.0
23,2,26,759600.0
24,2,27,850800.0
25,2,28,937300.0
26,2,29,958200.0
27,2,30,959200.0
28,2,31,1036800.0
29,2,32,1008100.0
30,2,33,990000.0
31,2,34,984300.0
32,2,35,987900.0
33,2,36,1062600.0
34,2,37,1029100.0
35,2,38,1194000.0
36,2,39,1114100.0
37,2,40,1145800.0
38,2,41,1085800.0
39,2,42,855700.0
40,2,43,909000.0
41,2,44,937500.0
42,2,45,948500.0
43,2,46,979800.0
44,2,47,984200.0
45,2,48,912000.0
46,2,49,933000.0
47,2,50,940500.0
48,2,51,939500.0
49,2,52,878500.0
50,2,53,884500.0
51,2,54,896200.0
52,2,55,889700.0
53,2,56,817400.0
54,2,57,828900.0
55,2,58,846400.0
56,2,59,809400.0
57,2,60,792900.0
58,2,61,835400.0
59,3,4,794600.0
60,3,5,951300.0
61,3,6,1125400.0
62,3,7,1067200.0
63,3,8,1003400.0
64,3,9,1011200.0
65,3,10,1099000.0
66,3,11,1195400.0
67,3,12,1193800.0
68,3,13,980200.0
69,3,14,1169600.0
70,3,15,1178100.0
71,3,16,1228400.0
72,3,17,1144300.0
73,3,18,987600.0
74,3,19,901400.0
75,3,20,1003800.0
76,3,21,984200.0
77,3,22,1022400.0
78,3,23,1070800.0
79,3,24,1063000.0
80,3,25,1057600.0
81,3,26,983400.0
82,3,27,949000.0
83,3,28,923700.0
84,3,29,875100.0
85,3,30,857100.0
86,3,31,1081500.0
87,3,32,1047000.0
88,3,33,1131300.0
89,3,34,1182700.0
90,3,35,1187900.0
91,3,36,1211700.0
92,3,37,1223700.0
93,3,38,1270100.0
94,3,39,1198700.0
95,3,40,1222300.0
96,3,41,1333800.0
97,3,42,1242600.0
98,3,43,997300.0
99,3,44,977800.0
100,3,45,942000.0
101,3,46,982200.0
102,3,47,935500.0
103,3,48,895500.0
104,3,49,851000.0
105,3,50,818000.0
106,3,51,810300.0
107,3,52,810300.0
108,3,53,801100.0
109,3,54,896000.0
110,3,55,907000.0
111,3,56,893500.0
112,3,57,878500.0
113,3,58,910500.0
114,3,59,901000.0
115,3,60,956500.0
116,3,61,946500.0
117,3,62,999500.0
118,4,5,923200.0
119,4,6,1309900.0
120,4,7,1405800.0
121,4,8,1286800.0
122,4,9,1239900.0
123,4,10,1563800.0
124,4,11,1495800.0
125,4,12,1552100.0
126,4,13,1297600.0
127,4,14,1233900.0
128,4,15,1092700.0
129,4,16,1365900.0
130,4,17,1236500.0
131,4,18,1213800.0
132,4,19,1120400.0
133,4,20,1073200.0
134,4,21,1111500.0
135,4,22,1131700.0
136,4,23,1022200.0
137,4,24,1028000.0
138,4,25,992900.0
139,4,26,1118000.0
140,4,27,1181200.0
141,4,28,1008600.0
142,4,29,1071200.0
143,4,30,1191400.0
144,4,31,1295100.0
145,4,32,1222100.0
146,4,33,1083500.0
147,4,34,1139300.0
148,4,35,1268100.0
149,4,36,1182300.0
150,4,37,1138000.0
151,4,38,1177800.0
152,4,39,1153300.0
153,4,40,1121000.0
154,4,41,1240400.0
155,4,42,1259800.0
156,4,43,1193800.0
157,4,44,981900.0
158,4,45,923400.0
159,4,46,942900.0
160,4,47,891900.0
161,4,48,809000.0
162,4,49,780000.0
163,4,50,792500.0
164,4,51,783500.0
165,4,52,832500.0
166,4,53,895900.0
167,4,54,942800.0
168,4,55,901500.0
169,4,56,882500.0
170,4,57,839000.0
171,4,58,910000.0
172,4,59,932500.0
173,4,60,950500.0
174,4,61,939500.0
175,4,62,984300.0
176,4,63,1008100.0
177,5,6,1521300.0
178,5,7,1639600.0
179,5,8,2018800.0
180,5,9,1862600.0
181,5,10,1528800.0
182,5,11,1382200.0
183,5,12,1519200.0
184,5,13,1437200.0
185,5,14,1448900.0
186,5,15,1364800.0
187,5,16,1345100.0
188,5,17,1324800.0
189,5,18,1349700.0
190,5,19,1154700.0
191,5,20,1082100.0
192,5,21,1152700.0
193,5,22,1146200.0
194,5,23,1103400.0
195,5,24,1084700.0
196,5,25,1050400.0
197,5,26,1030100.0
198,5,27,986800.0
199,5,28,1194800.0
200,5,29,1179700.0
201,5,30,1190900.0
202,5,31,1274700.0
203,5,32,1235500.0
204,5,33,1280600.0
205,5,34,1443400.0
206,5,35,1439600.0
207,5,36,1380800.0
208,5,37,1298100.0
209,5,38,1346800.0
210,5,39,1176500.0
211,5,40,1202500.0
212,5,41,1036200.0
213,5,42,1138800.0
214,5,43,1170300.0
215,5,44,940500.0
216,5,45,927000.0
217,5,46,899000.0
218,5,47,893500.0
219,5,48,867400.0
220,5,49,833000.0
221,5,50,832900.0
222,5,51,821900.0
223,5,52,846500.0
224,5,53,816000.0
225,5,54,826000.0
226,5,55,796600.0
227,5,56,755100.0
228,5,57,789100.0
229,5,58,792100.0
230,5,59,842500.0
231,5,60,860000.0
232,5,61,990600.0
233,5,62,1063100.0
234,5,63,1048500.0
235,5,64,1127600.0
236,6,7,1368900.0
237,6,8,1331700.0
238,6,9,1128900.0
239,6,10,1295800.0
240,6,11,1641800.0
241,6,12,1333500.0
242,6,13,1169800.0
243,6,14,1236900.0
244,6,15,1095000.0
245,6,16,1417000.0
246,6,17,1264300.0
247,6,18,1143600.0
248,6,19,893600.0
249,6,20,891100.0
250,6,21,984700.0
251,6,22,932000.0
252,6,23,1027100.0
